artifact,artifact_sha256,backtest_days,backtest_end,backtest_start,closed_trade_max_drawdown_pct,draws,exchange,fee,final_balance,losses,market_change,max_drawdown_account,max_open_trades,pairlist,profit_factor,profit_factor_state,profit_pct,profit_total,profit_total_abs,raw_sensitive_archive,result_member,result_role,run_id,stake_amount,stake_currency,starting_balance,strategy,strategy_name,timeframe,timerange,total_trades,trades_per_day,trades_sha256,trading_mode,truth_status,wallet_max_drawdown_pct,winrate,winrate_pct,wins
results/baselines_train/baselines_train-2026-08-17_17-59-35.zip,2c21af882f52dc93c9d7b35faa35719e99fed97c309c0e2ba1277ef5dcffd795,59,2026-03-01 00:00:00,2026-01-01 00:00:00,68.85140122300005,0,binance,0.001,314.5677831099995,427,-0.2346409827321829,0.6885140122300005,1,"[""BTC/USDC""]",0.2452436889006964,FINITE,-68.543221689,-0.6854322168900001,-685.4322168900001,False,baselines_train-2026-08-17_17-59-35.json,LOCAL_RESEARCH_RUN,baselines_train:BreakoutBaseline,unlimited,USDC,1000.0,BreakoutBaseline,BreakoutBaseline,1m,20260101-20260301,510,8.64,862fd0a2c2555f85635332debd92156be7604971c38c36281d237120a2e4d6ba,spot,VERIFIZIERT,68.95138061990457,0.1627450980392157,16.274509803921568,83
results/baselines_train/baselines_train-2026-08-17_17-59-35.zip,2c21af882f52dc93c9d7b35faa35719e99fed97c309c0e2ba1277ef5dcffd795,59,2026-03-01 00:00:00,2026-01-01 00:00:00,23.426904746,0,binance,0.001,765.73095254,1,-0.2346409827321829,0.23426904746000002,1,"[""BTC/USDC""]",0.0,FINITE,-23.426904745999998,-0.23426904746,-234.26904746,False,baselines_train-2026-08-17_17-59-35.json,LOCAL_RESEARCH_RUN,baselines_train:BuyHoldBaseline,unlimited,USDC,1000.0,BuyHoldBaseline,BuyHoldBaseline,1m,20260101-20260301,1,0.02,cfb7ced914597b158db7064b1c362f17fe90b6223d5dc2d240d8126dcb83c8b8,spot,VERIFIZIERT,38.33339533828931,0.0,0.0,0
results/baselines_train/baselines_train-2026-08-17_17-59-35.zip,2c21af882f52dc93c9d7b35faa35719e99fed97c309c0e2ba1277ef5dcffd795,59,2026-03-01 00:00:00,2026-01-01 00:00:00,0.0,0,binance,,1000.0,0,-0.2346409827321829,0.0,1,"[""BTC/USDC""]",0.0,UNDEFINED_NO_TRADES,0.0,0.0,0,False,baselines_train-2026-08-17_17-59-35.json,LOCAL_RESEARCH_RUN,baselines_train:CashBaseline,unlimited,USDC,1000.0,CashBaseline,CashBaseline,1m,20260101-20260301,0,0.0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,spot,VERIFIZIERT,0.0,0,0.0,0
results/baselines_train/baselines_train-2026-08-17_17-59-35.zip,2c21af882f52dc93c9d7b35faa35719e99fed97c309c0e2ba1277ef5dcffd795,59,2026-03-01 00:00:00,2026-01-01 00:00:00,85.96496706153769,0,binance,0.001,143.50223387999927,729,-0.2346409827321829,0.8596496706153769,1,"[""BTC/USDC""]",0.21849951212085655,FINITE,-85.649776612,-0.85649776612,-856.4977661199999,False,baselines_train-2026-08-17_17-59-35.json,LOCAL_RESEARCH_RUN,baselines_train:EMACrossoverBaseline,unlimited,USDC,1000.0,EMACrossoverBaseline,EMACrossoverBaseline,1m,20260101-20260301,866,14.68,71d0c5615b973f1a4d1a3e400da7a412a929778b2b856ea26cf3363afa5ce992,spot,VERIFIZIERT,86.01901636149864,0.1581986143187067,15.819861431870669,137
results/baselines_train/baselines_train-2026-08-17_17-59-35.zip,2c21af882f52dc93c9d7b35faa35719e99fed97c309c0e2ba1277ef5dcffd795,59,2026-03-01 00:00:00,2026-01-01 00:00:00,30.972615146063063,0,binance,0.001,722.91725829,1,-0.2346409827321829,0.30972615146063065,1,"[""BTC/USDC""]",0.14579044025642995,FINITE,-27.708274171000003,-0.27708274171,-277.08274171000005,False,baselines_train-2026-08-17_17-59-35.json,LOCAL_RESEARCH_RUN,baselines_train:ROIOnlyBaseline,unlimited,USDC,1000.0,ROIOnlyBaseline,ROIOnlyBaseline,1m,20260101-20260301,17,0.29,3addb81cf2adc267b6690b213eaa80b054c5cbb5fb9611bc3210f51ad3f5860d,spot,VERIFIZIERT,38.02860096030293,0.9411764705882353,94.11764705882352,16
results/baselines_train/baselines_train-2026-08-17_17-59-35.zip,2c21af882f52dc93c9d7b35faa35719e99fed97c309c0e2ba1277ef5dcffd795,59,2026-03-01 00:00:00,2026-01-01 00:00:00,42.772609479995545,0,binance,0.001,588.9830137299999,179,-0.2346409827321829,0.42772609479995544,1,"[""BTC/USDC""]",0.40173784517667793,FINITE,-41.10169862699999,-0.41101698626999994,-411.01698626999996,False,baselines_train-2026-08-17_17-59-35.json,LOCAL_RESEARCH_RUN,baselines_train:RandomSignalControl,unlimited,USDC,1000.0,RandomSignalControl,RandomSignalControl,1m,20260101-20260301,254,4.31,6e79809c35c48c7a8baf15c289941eff3c8990144ab4a72797afc9faae097cbb,spot,VERIFIZIERT,43.2295099179402,0.2952755905511811,29.527559055118108,75
results/baselines_train/baselines_train-2026-08-17_17-59-35.zip,2c21af882f52dc93c9d7b35faa35719e99fed97c309c0e2ba1277ef5dcffd795,59,2026-03-01 00:00:00,2026-01-01 00:00:00,73.0975732170001,0,binance,0.001,276.0194561999989,494,-0.2346409827321829,0.730975732170001,1,"[""BTC/USDC""]",0.28219615914778806,FINITE,-72.39805438,-0.7239805438000001,-723.9805438000001,False,baselines_train-2026-08-17_17-59-35.json,LOCAL_RESEARCH_RUN,baselines_train:SMACrossoverBaseline,unlimited,USDC,1000.0,SMACrossoverBaseline,SMACrossoverBaseline,1m,20260101-20260301,596,10.1,d851a26c2325dcc4f297178ffeaed0bbaa617e8875a6a17b3f97c494822e46fe,spot,VERIFIZIERT,73.25650203295382,0.17114093959731544,17.114093959731544,102
results/baselines_train/baselines_train-2026-08-17_17-59-35.zip,2c21af882f52dc93c9d7b35faa35719e99fed97c309c0e2ba1277ef5dcffd795,59,2026-03-01 00:00:00,2026-01-01 00:00:00,29.671748000000004,0,binance,0.001,748.7591954,16,-0.2346409827321829,0.29671748000000003,1,"[""BTC/USDC""]",0.1532659127463606,FINITE,-25.124080460000002,-0.25124080460000003,-251.24080460000002,False,baselines_train-2026-08-17_17-59-35.json,LOCAL_RESEARCH_RUN,baselines_train:StoplossOnlyBaseline,unlimited,USDC,1000.0,StoplossOnlyBaseline,StoplossOnlyBaseline,1m,20260101-20260301,17,0.29,8557af056c48f689675afba2fdba947051296516e53457e7927d955412af5e1d,spot,VERIFIZIERT,37.215437632041144,0.058823529411764705,5.88235294117647,1
results/champion_ablation/backtest-result-2026-08-17_17-45-29.zip,0a797f511126e5d328ea675ddfd3c2f1a3ca91e437fe58082630421bab11017a,120,2026-05-01 00:00:00,2026-01-01 00:00:00,1.798660352759033,0,binance,0.001,58.91205121,2,-0.1276177348828778,0.01798660352759033,1,"[""BTC/USDC""]",5.9901472371101585,FINITE,17.82410242,0.1782410242,8.91205121,False,backtest-result-2026-08-17_17-45-29.json,LOCAL_RESEARCH_RUN,champion_ablation:ED8Delay1,unlimited,USDC,50.0,ED8Delay1,ED8Delay1,1m,20260101-20260501,20,0.17,5658eb17c43ebe7279d319e92d6b979568dcba091c066b4baaf78a6ddbcadd89,spot,VERIFIZIERT,2.646838178153836,0.9,90.0,18
results/champion_ablation/backtest-result-2026-08-17_17-45-29.zip,0a797f511126e5d328ea675ddfd3c2f1a3ca91e437fe58082630421bab11017a,120,2026-05-01 00:00:00,2026-01-01 00:00:00,1.8919997903096124,0,binance,0.001,59.69317281,2,-0.1276177348828778,0.018919997903096123,1,"[""BTC/USDC""]",6.300380234395116,FINITE,19.38634562,0.1938634562,9.69317281,False,backtest-result-2026-08-17_17-45-29.json,LOCAL_RESEARCH_RUN,champion_ablation:ED8Delay2,unlimited,USDC,50.0,ED8Delay2,ED8Delay2,1m,20260101-20260501,20,0.17,81f2129852a55051eb4c461c148a8704a08846d897cca21769f507582b3db6f5,spot,VERIFIZIERT,2.514989991980367,0.9,90.0,18
